Code;Espèces;Libellé long;étiquette affichée
0;oiseau;non concerné;Par une méthode sélective, non massive
2;oiseau;"
Utilisation de l’une des méthodes suivantes :
a)
—
Collets (à l’exception de la Finlande et de la Suède pour la capture de Lagopus lagopus lagopus et de Lagopus mutus au nord de 58° de latitude nord), gluaux, hameçons, oiseaux vivants utilisés comme appelants aveuglés ou mutilés, enregistreurs, appareils électrocutants,
—
sources lumineuses artificielles, miroirs, dispositifs pour éclairer les cibles, dispositifs de visée comportant un convertisseur d’image ou un amplificateur d’image électronique pour tir de nuit,
—
explosifs,
—
filets, pièges-trappes, appâts empoisonnés ou tranquillisants,
—
armes semi-automatiques ou automatiques dont le chargeur peut contenir plus de deux cartouches;
";Par une des méthodes suivantes : Collets, gluaux, hameçons, oiseaux vivants utilisés comme appelants aveuglés ou mutilés, enregistreurs, appareils électrocutants, sources lumineuses artificielles, miroirs, dispositifs pour éclairer les cibles, dispositifs de visée comportant un convertisseur d’image ou un amplificateur d’image électronique pour tir de nuit, explosifs, filets, pièges-trappes, appâts empoisonnés ou tranquillisants, armes semi-automatiques ou automatiques dont le chargeur peut contenir plus de deux cartouches.
1;oiseau;En ce qui concerne la chasse, la capture ou la mise à mort d’oiseaux dans le cadre de la présente directive, les États membres interdisent le recours à tous moyens, installations ou méthodes de capture ou de mise à mort massive ou non sélective ou pouvant entraîner localement la disparition d’une espèce, non listéesà l’annexe IV, point a)  (cf liste ci-dessous);Par une autre méthode non-sélective, massive ou pouvant entraîner localement la disparition d’une espèce
10;faune non-oiseau;non concerné;Par une méthode sélective
12;faune non-oiseau;"Moyens non sélectifs
Mammifères : Animaux aveugles ou mutilés utilisés comme leurres vivants, Magnétophones, Appareils électriques et électroniques capables de tuer ou d’assommer, Sources lumineuses artificielles, Miroirs et autres dispositifs d’éblouissement, Dispositifs pour éclairer les cibles, Dispositifs de visée pour le tir de nuit comprenant une loupe électronique ou un convertisseur d’image, des explosifs, des pièges ou des filets non sélectifs selon leur principe ou leurs conditions d’utilisation, des arbalètes, des poisons et des appâts empoisonnés ou anesthésiques, des gazages ou des fumées, Armes semi-automatiques ou automatiques avec un chargeur capable de contenir plus de deux cartouches de munitions dans le vocabulaire habitatsmethods
(annexe VI de la dir habitat et annexe IV convention de berne)";Pour les mammifères, par l’une des méthodes suivantes : Animaux aveugles ou mutilés utilisés comme leurres vivants, magnétophones, appareils électriques et électroniques capables de tuer ou d’assommer, sources lumineuses artificielles, miroirs et autres dispositifs d’éblouissement, dispositifs pour éclairer les cibles, dispositifs de visée pour le tir de nuit comprenant une loupe électronique ou un convertisseur d’image, des explosifs, des pièges ou des filets non sélectifs selon leur principe ou leurs conditions d’utilisation, des arbalètes, des poisons et des appâts empoisonnés ou anesthésiques, des gazages ou des fumées, armes semi-automatiques ou automatiques avec un chargeur capable de contenir plus de deux cartouches de munitions
13;faune non-oiseau;Moyens non sélectifs, Poissons : Explosifs, Armes à feu, Poisons, Anesthésiques, Électricité à courant alternatif, Sources lumineuses artificielles dans le vocabulaire des habitatsmethods, convention de berne annexe IV;Pour les poissons, par l’une des méthodes suivantes : Explosifs, armes à feu, poisons, anesthésiques, électricité à courant alternatif, sources lumineuses artificielles
14;faune non-oiseau;Moyens non sélectifs Écrevisses : Explosifs, Poisons dans le vocabulaire des habitatsmethods convention de berne annexe IV;Pour les écrevisses, par l’une des méthodes suivantes :  Explosifs, poisons
11;faune non-oiseau;tout moyen indiscriminé susceptible de provoquer la disparition locale de populations de l’espèce non inscrites à l’annexe VI (a) de la directive de l’UE sur les habitats ou à l’appendice IV de la convention de Berne ou de perturber gravement ces populations dans le vocabulaire des méthodes d’habitat;Par une autre méthode non-sélective, massive ou pouvant entraîner localement la disparition d’une espèce
