Tableau de suivi,Objet du projet (ONAGRE),"regarder document interprétation dir, nomenclature cas par cas"
,Aménagements fonciers,"Procédure AFAF, remembrement"
Carrière,Carrière de matériaux alluvionnaires,Carrière de matériaux alluvionnaires
Carrière,Carrières,Carrières
"Capture/Relâcher, Transport, Capture/Transport, Centre de soins, Naturalisation",Conservation des espèces,Conservation des espèces
Naturalisation,Demande à caractère scientifique,Demande à caractère scientifique
Désairage,Desaîrage,Desaîrage
"Tir, Péril aviaire, Piège",Dommages aux biens et activités,Dommages aux biens et activités
,Événementiel avec ou sans aménagement temporaire,Événementiel avec ou sans aménagement temporaire
,Exploitation forestière,Exploitation forestière
,Industries de production de biens et marchandises,Industries de production de biens et marchandises
,Infrastructure - Autres,Infrastructure - Autres
Aménagement aéroportuaire,Infrastructures aéroportuaires,Infrastructures aéroportuaires
"Ouvrages hydrauliques, Protection risques naturels",Infrastructures des ouvrages de défense contre la mer,Infrastructures des ouvrages de défense contre la mer
Ligne ferroviaire,Infrastructures de transport ferroviaire,Infrastructures de transport ferroviaire
"Port, Dragage",Infrastructures de transport maritime et fluvial,Infrastructures de transport maritime et fluvial
Route,Infrastructures de transport routières,Infrastructures de transport routières
Agricole,Installations agricoles,Installations agricoles
Déchets,Installations de gestion des déchets,Installations de gestion des déchets
"Loisirs, Chasse",Installations de loisir et de tourisme,Installations de loisir et de tourisme
"Capture/Relâcher, Autre scientifique, Perturbation intentionnelle, Prélèvement",Inventaire lié à la connaissance,Inventaire lié à la connaissance
"Capture/Relâcher, Autre scientifique, Perturbation intentionnelle, Prélèvement",Inventaire lié aux aménagements et aux projets,à rattacher au projet
Naturalisation,Pédagogique enseignement,Pédagogique enseignement
"Tir, Péril aviaire, Piège",Péril animalier,Péril animalier
,"Plate-formes logistiques, centres commerciaux","Plate-formes logistiques, centres commerciaux"
"Retenue, Ouvrages hydrauliques, Travaux cours d’eau",Préservation de la sécurité et santé publique,Préservation de la sécurité et santé publique
"électricité, Nucléaire",Production énergie autre-projets liés au nucléaire,Production énergie autre-projets liés au nucléaire
"Éolien, Photovoltaïque, Méthaniseur, Hydroélectricité",Production énergie renouvelable,"Distinguer : Éolien, Photovoltaïque, Hydroélectricité, méthaniseurs, biomasse, autres"
,Projets de bâtiments pour les services publics-installations sportives,Projets de bâtiments pour les services publics-installations sportives
,Projets liés à la gestion de l’eau,Projets liés à la gestion de l’eau
"Renaturation milieux, Travaux cours d’eau",Restauration écologique,Restauration écologique
,"Restauration, réfection, entretien et démolition de bâtiments et ouvrages d’art","Restauration, réfection, entretien et démolition de bâtiments et ouvrages d’art"
"Capture/Relâcher, Autre scientifique, Perturbation intentionnelle, Prélèvement, Naturalisation",Scientifique recherche,à regrouper avec demande à caractère scientifique
Canalisation,Transport (autres canalisations),Transport (autres canalisations)
Canalisation,Transport eau aqueduc,Transport eau aqueduc
électricité,Transport énergie électrique,Transport énergie électrique
Canalisation,Transport gaz,Transport gaz
Canalisation,Transport hydrocarbures,Transport hydrocarbures
Urbanisation,Urbanisation logement,"Urbanisation (déclaration préalable travaux, PC, permis d’aménager)"
,UTN (Unité Touristique Nouvelle),UTN (Unité Touristique Nouvelle)
,ZAC,ZAC
Police,,
Défrichement,,
